#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
650107111,0.059,0.141,-0.717,
650145635,-0.003,0.159,-1.085,
650184159,-0.017,0.127,-1.472,
650222683,-0.002,0.041,-1.608,
650261208,0.006,0.005,-1.284,
650299732,0.057,0.046,-0.981,
650338256,0.059,0.087,-0.658,
650376780,0.062,0.115,-0.56,
650415304,0.053,0.137,-0.664,
650453828,0.001,0.133,-0.856,
650492352,0,0.139,-1.242,
650530876,-0.002,0.082,-1.432,
650569401,0.003,0.055,-1.42,
650607925,0.036,0.041,-1.216,
650646449,0.068,0.047,-0.902,
650684973,0.089,0.06,-0.66,
650723498,0.088,0.1,-0.61,
650762021,0.051,0.09,-0.707,
650800546,0.015,0.132,-1.073,
650839070,-0.001,0.132,-1.352,
650877594,0.011,0.064,-1.46,
650916118,0.036,0.015,-1.286,
650954643,0.07,0.031,-1.003,
650993167,0.084,0.066,-0.725,
651031691,0.082,0.093,-0.603,
651070215,0.074,0.116,-0.666,
651108739,0.031,0.12,-0.837,
651147263,0.029,0.11,-1.187,
651185788,0.013,0.07,-1.414,
651224311,0.005,0.044,-1.431,
651262836,0.026,0.057,-1.227,
651301360,0.058,0.07,-0.927,
651339884,0.08,0.065,-0.663,
651378408,0.087,0.061,-0.566,
651416933,0.046,0.087,-0.701,
651455456,-0.004,0.136,-1.033,
651493981,-0.012,0.126,-1.371,
651532505,-0.015,0.14,-1.473,
651571029,0,0.137,-1.26,
651609553,0.031,0.15,-0.971,
651648077,0.036,0.102,-0.753,
651686602,0.088,-0.112,-0.766,
651725126,0.116,-0.247,-0.879,
651763650,0.083,-0.172,-0.931,
651802174,0.02,0.036,-1.055,
651840698,-0.032,0.246,-1.147,
651879222,-0.061,0.345,-1.184,
651917746,-0.066,0.403,-1.13,
651956271,-0.043,0.356,-1.031,
651994795,0.008,0.129,-0.986,
652033319,0.061,-0.084,-0.949,
652071843,0.101,-0.304,-0.9,
652110367,0.111,-0.328,-0.971,
652148891,0.044,-0.131,-0.931,
652187416,-0.052,0.268,-1.008,
652225940,-0.105,0.434,-1.078,
652264464,-0.064,0.412,-1.126,
652302988,0.056,0.283,-1.038,
652341512,0.203,0.057,-0.982,
652380036,0.277,-0.083,-0.983,
652418560,0.216,-0.016,-1.011,
652457085,0.102,0.048,-0.999,
652495609,-0.042,0.05,-0.982,
