#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
357634898,0.018,-0.025,-1.013,
357673422,0.018,-0.025,-1.013,
357711945,0.018,-0.025,-1.013,
357750468,0.017,-0.025,-1.014,
357788992,0.018,-0.025,-1.013,
357827515,0.018,-0.026,-1.014,
357866039,0.018,-0.026,-1.013,
357904562,0.018,-0.026,-1.013,
357943085,0.018,-0.026,-1.014,
357981609,0.018,-0.025,-1.013,
358020132,0.018,-0.025,-1.013,
358058655,0.018,-0.025,-1.014,
358097179,0.018,-0.025,-1.013,
358135702,0.018,-0.025,-1.013,
358174226,0.018,-0.025,-1.013,
358212749,0.018,-0.025,-1.013,
358251272,0.019,-0.025,-1.013,
358289795,0.019,-0.026,-1.013,
358328319,0.018,-0.025,-1.013,
358366842,0.018,-0.025,-1.013,
358405365,0.018,-0.025,-1.013,
358443888,0.018,-0.025,-1.013,
358482412,0.018,-0.025,-1.014,
358520936,0.018,-0.025,-1.014,
358559458,0.018,-0.025,-1.014,
358597982,0.018,-0.025,-1.013,
358636505,0.018,-0.025,-1.013,
358675029,0.018,-0.026,-1.013,
358713552,0.018,-0.025,-1.013,
358752075,0.018,-0.025,-1.013,
358790599,0.019,-0.026,-1.013,
358829122,0.018,-0.026,-1.013,
358867645,0.018,-0.026,-1.013,
358906169,0.018,-0.025,-1.013,
358944692,0.018,-0.026,-1.014,
358983216,0.018,-0.026,-1.014,
359021738,0.018,-0.025,-1.014,
359060262,0.018,-0.025,-1.014,
359098785,0.018,-0.025,-1.014,
359137309,0.018,-0.025,-1.014,
359175832,0.018,-0.026,-1.013,
359214356,0.018,-0.025,-1.013,
359252879,0.018,-0.025,-1.013,
359291402,0.018,-0.026,-1.013,
359329926,0.018,-0.025,-1.013,
359368448,0.019,-0.025,-1.013,
359406972,0.018,-0.025,-1.013,
359445495,0.018,-0.025,-1.013,
359484019,0.018,-0.025,-1.013,
359522542,0.018,-0.025,-1.013,
359561065,0.018,-0.025,-1.013,
359599589,0.018,-0.026,-1.013,
359638112,0.018,-0.025,-1.013,
359676635,0.019,-0.025,-1.014,
359715159,0.018,-0.026,-1.014,
359753682,0.018,-0.025,-1.013,
359792205,0.018,-0.025,-1.013,
359830728,0.018,-0.025,-1.014,
359869252,0.018,-0.025,-1.013,
359907776,0.018,-0.025,-1.013,
359946299,0.018,-0.025,-1.014,
359984822,0.018,-0.026,-1.013,
360023346,0.018,-0.025,-1.013,
360061869,0.018,-0.025,-1.013,
360100392,0.018,-0.025,-1.013,
360138916,0.018,-0.025,-1.013,
360177439,0.018,-0.025,-1.013,
360215962,0.019,-0.025,-1.013,
360254485,0.018,-0.025,-1.014,
360293009,0.018,-0.025,-1.014,
360331532,0.018,-0.025,-1.013,
360370055,0.018,-0.025,-1.013,
360408579,0.018,-0.025,-1.013,
360447102,0.018,-0.025,-1.013,
360485626,0.018,-0.025,-1.013,
360524149,0.018,-0.025,-1.013,
360562672,0.018,-0.025,-1.014,
360601196,0.018,-0.026,-1.014,
360639718,0.018,-0.026,-1.013,
360678242,0.018,-0.025,-1.013,
360716765,0.018,-0.025,-1.013,
360755289,0.018,-0.025,-1.013,
360793812,0.018,-0.025,-1.013,
360832336,0.018,-0.025,-1.014,
360870859,0.018,-0.025,-1.013,
360909382,0.018,-0.025,-1.013,
360947906,0.018,-0.026,-1.013,
360986429,0.018,-0.025,-1.013,
361024952,0.018,-0.025,-1.014,
