#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
881369073,0.008,-0.258,-0.478,
881407597,-0.532,0.347,-2.066,
881446122,-0.722,0.297,-2.487,
881484646,-0.597,0.491,-1.683,
881523170,-0.163,0.293,-0.642,
881561694,0.411,-1.133,-0.017,
881600218,0.579,-1.527,-0.308,
881638743,-0.128,-0.449,-0.577,
881677266,-0.72,0.691,-1.975,
881715791,-0.901,1.065,-1.977,
881754315,-0.591,0.83,-1.224,
881792840,-0.178,0.009,-0.444,
881831363,0.455,-1.335,-0.334,
881869888,0.367,-1.253,-0.618,
881908412,-0.203,-0.376,-0.841,
881946936,-0.679,1.027,-2.166,
881985460,-0.756,0.764,-1.554,
882023985,-0.463,0.396,-1.086,
882062509,-0.097,-0.584,-0.372,
882101033,0.345,-1.393,-0.414,
882139558,0.103,-1.175,-0.661,
882178081,-0.434,0.096,-2.238,
882216605,-0.736,0.423,-1.668,
882255130,-0.468,0.354,-1.429,
882293654,-0.235,0.018,-0.74,
882332179,0.157,-0.364,-0.375,
882370702,0.362,-0.701,-0.557,
882409227,0.205,-0.86,-0.745,
882447751,0.006,-0.965,-1.066,
882486275,-0.177,-1.055,-1.398,
882524799,0.079,-1.076,-0.631,
882563323,0.223,-0.688,0.093,
882601848,0.409,-0.701,0.286,
882640372,0.426,-0.723,0.48,
882678896,0.338,-0.594,0.083,
882717420,-0.239,-0.516,-0.972,
882755945,0.111,-1.484,-1.139,
882794468,-0.235,0.164,-1.275,
882832993,-0.023,0.61,-0.495,
882871517,0.03,0.101,-1.381,
882910041,0.026,0.231,-1.181,
882948566,0.054,-0.536,-0.017,
882987090,0.36,-1.605,-0.055,
883025614,0.276,-0.604,0.054,
883064138,0.361,-0.917,0.213,
883102662,0.186,-0.605,-0.185,
883141187,-0.237,-0.568,-1.089,
883179711,0.096,-1.593,-1.382,
883218235,-0.292,0.622,-0.758,
883256759,0.129,0.089,-0.91,
883295283,0.098,-1.036,-0.72,
883333808,0.113,-1.079,-0.213,
883372332,0.149,-1.084,0.443,
883410856,0.308,-1.066,-0.102,
883449380,0.191,-0.91,0.352,
883487905,0.008,-0.656,-0.512,
883526429,-0.237,-1.36,-1.082,
883564953,0.059,-1.441,-1.14,
883603477,-0.2,1.148,-0.562,
883642001,0.153,-0.409,-1.041,
883680526,0.09,-0.935,-0.709,
883719050,0.132,-1.136,-0.155,
883757574,0.259,-0.922,0.236,
883796099,0.314,-0.869,0.178,
883834622,0.219,-0.79,0.06,
883873147,-0.191,-0.476,-0.564,
883911671,-0.173,-1.419,-1.242,
883950195,-0.255,-1.222,-1.434,
883988720,-0.625,0.815,-0.641,
884027244,-0.705,0.06,-0.336,
884065768,-0.832,-0.252,-1.613,
884104292,-0.769,-0.673,-2.251,
884142816,-1.199,-0.881,-2.02,
884181341,-2.001,0.155,-1.077,
884219865,-0.861,0.696,0.325,
884258389,0.117,-0.544,-0.689,
884296913,0.164,0.001,0.463,
884335437,0.708,-0.287,1.56,
884373962,0.303,0.079,1.144,
884412486,-1.21,0.584,-0.515,
884451010,-1.274,0.332,-1.432,
884489534,-1.311,0.385,-2.195,
884528059,-0.86,-0.495,-1.897,
884566582,-0.673,0.096,-1.497,
884605107,-0.675,-0.648,-2.084,
884643631,-1.382,-0.313,-1.523,
884682155,-0.953,0.689,-0.543,
884720680,-0.053,0.288,0.002,
884759204,0.442,0.128,1.151,
884797728,0.775,-0.055,1.477,
884836252,0.412,0.069,1.445,
884874777,-0.842,-0.174,-0.044,
884913301,-1.174,0.48,-0.818,
884951825,-1.43,0.209,-2.119,
884990349,-0.875,-0.094,-2.468,
885028873,-0.578,-0.426,-1.504,
885067397,-0.577,-0.699,-2.156,
885105922,-1.524,-0.026,-1.636,
885144446,-0.615,0.819,0.15,
885182970,0.134,-0.262,0.581,
885221495,0.507,0.062,1.284,
885260018,0.64,0.001,1.429,
885298542,-0.01,0.304,1.368,
885337067,-1.01,0.119,-0.437,
885375591,-1.178,0.189,-1.101,
885414116,-1.226,0.248,-2.937,
885452640,-0.674,-0.52,-2.468,
885491163,-0.768,-0.483,-2.231,
885529688,-1.459,0.142,-1.314,
885568212,-0.575,0.737,0.187,
885606736,-0.01,-0.01,1.099,
885645260,0.505,-0.115,1.525,
885683785,0.435,-0.029,1.278,
885722309,-0.34,-0.157,0.111,
885760833,-0.78,0.159,-0.773,
885799357,-1.136,0.002,-2.016,
885837882,-0.838,0.267,-2.895,
885876406,-0.68,-0.258,-1.821,
885914930,-0.612,-0.172,-2.181,
885953454,-1.328,0.222,-1.119,
885991978,-0.58,1.596,1.276,
