@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_ACC_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_ACC_V numeric
@attribute class {Jaz, Mami, Mirovanje, Sestra, Vati}

@data
-0.980469, 0.0702515, -0.0641479, 1.06055, 0.0893555, 0.0646362, 0.106873, 0.105469, -1.74609, -0.57373, -0.728516, 0.432373, -0.115967, 0.658691, 0.933594, 1.81543, Jaz
-0.966797, 0.0695801, -0.00403214, 1.04102, 0.09375, 0.0644531, 0.0911865, 0.104492, -1.63574, -0.427979, -0.612793, 0.621582, -0.35498, 0.619629, 0.82959, 1.74414, Jaz
-1.01758, 0.0369568, -0.0340881, 1.08398, 0.100586, 0.0559998, 0.0910034, 0.113281, -1.89551, -0.710938, -0.538574, 0.509766, -0.470947, 0.650879, 1.01758, 1.91699, Jaz
-1.01563, 0.0508728, -0.0472717, 1.08789, 0.0986328, 0.0518188, 0.109985, 0.115234, -1.69922, -0.703613, -0.527832, 0.507324, -0.268799, 0.480957, 1.02344, 1.92578, Jaz
-1.0166, 0.0947266, 0.00603485, 1.08594, 0.0927734, 0.0487671, 0.0986328, 0.102539, -1.67188, -0.303955, -0.686523, 0.558594, -0.511719, 0.638672, 0.879883, 1.77832, Jaz
-0.972168, 0.0260468, -0.0325317, 1.04492, 0.107422, 0.0505371, 0.0911255, 0.102539, -1.71191, -0.546875, -0.558594, 0.408936, -0.0359802, 0.519531, 0.922852, 1.81445, Jaz
-0.989258, -0.00478363, -0.114685, 1.0459, 0.0927734, 0.0622864, 0.0360413, 0.0917969, -1.72656, -0.677734, -0.615723, 0.496094, -0.195923, 0.862793, 0.611816, 1.93945, Jaz
-1.03906, 0.0297241, -0.0432434, 1.09766, 0.0771484, 0.0440674, 0.100281, 0.0986328, -1.68652, -0.501953, -0.520996, 0.517578, -0.378906, 0.432861, 1.11621, 1.95996, Jaz
-1.0332, 0.0506897, -0.0486755, 1.1084, 0.108398, 0.0622559, 0.107056, 0.12207, -1.86914, -0.742676, -0.650879, 0.350098, -0.283936, 0.55957, 1.14355, 1.99805, Jaz
-0.986816, 0.0380554, 0.00127316, 1.04297, 0.102539, 0.0379028, 0.0828247, 0.111328, -1.85449, -0.457764, -0.61084, 0.471924, -0.227905, 0.500977, 0.939941, 1.91895, Jaz
-0.972656, 0.0372314, -0.103027, 1.05078, 0.120117, 0.0542603, 0.0949707, 0.124023, -2.70313, -0.448975, -0.790527, 0.434326, -0.10498, 1.08594, 0.866699, 2.74414, Jaz
-0.943359, 0.13501, 0.0563965, 1.0332, 0.0727539, 0.0828247, 0.0797119, 0.0810547, -1.82617, -0.343994, -0.441895, 0.513184, -0.303955, 0.947754, 0.768555, 1.88184, Jaz
-0.991699, 0.061676, -0.0200348, 1.06055, 0.102539, 0.0489502, 0.0944214, 0.111328, -1.87695, -0.777832, -0.501953, 0.461426, -0.327881, 0.510742, 0.942871, 1.9043, Jaz
-0.994141, 0.0488586, -0.0120697, 1.03906, 0.0732422, 0.0267792, 0.0789185, 0.0917969, -1.68555, -0.308838, -0.583984, 0.504395, -0.433838, 0.462891, 0.96582, 1.91797, Jaz
-0.988281, 0.00900269, -0.0844116, 1.03711, 0.0976563, 0.0362244, 0.0540466, 0.0947266, -1.86328, -0.654785, -0.633789, 0.517578, -0.197998, 0.447998, 0.549805, 1.88672, Jaz
-1.02246, 0.0120163, -0.0877075, 1.0957, 0.0830078, 0.0664063, 0.0784912, 0.0869141, -1.79199, -0.873535, -0.636719, 0.473389, -0.202881, 0.705566, 0.836914, 1.83398, Jaz
-1.02051, 0.0571899, -0.0315857, 1.0957, 0.125977, 0.0625, 0.0962524, 0.131836, -2.52344, -0.784668, -0.690918, 0.387207, -0.185913, 0.589844, 1.00781, 2.57031, Jaz
-0.996582, 0.0167389, -0.0187073, 1.07031, 0.0986328, 0.0762329, 0.0789795, 0.0996094, -2.25586, -0.818848, -0.540527, 0.568359, -0.368896, 0.888672, 0.861816, 2.42578, Jaz
-0.979004, 0.0295258, -0.0651855, 1.04102, 0.0581055, 0.0577698, 0.0742798, 0.0712891, -1.96777, -0.533691, -0.615723, 0.482666, -0.262939, 0.771973, 0.927734, 2, Jaz
-0.964355, 0.0406189, -0.0550232, 1.03809, 0.123535, 0.0565796, 0.102478, 0.140625, -2.35938, -0.69873, -0.594727, 0.377197, -0.230957, 0.691895, 0.98584, 2.41992, Jaz
-1.00098, 0.0340271, -0.0201569, 1.07617, 0.112305, 0.0751343, 0.078125, 0.109375, -2.05469, -0.75, -0.591797, 0.477783, -0.397949, 0.637695, 0.929688, 2.16016, Jaz
-1.0127, 0.0175934, -0.0506287, 1.09668, 0.0957031, 0.100586, 0.0689697, 0.0869141, -2.20313, -1.01758, -0.991699, 0.580078, -0.323975, 0.879883, 0.72998, 2.26953, Jaz
-1.02148, 0.0532227, -0.0309296, 1.07715, 0.0683594, 0.0529175, 0.0585938, 0.0673828, -1.76074, -0.84668, -0.420898, 0.671387, -0.658691, 0.533691, 0.70459, 1.80664, Jaz
-0.987793, -0.00693893, -0.0820923, 1.03906, 0.0625, 0.0471802, 0.0408325, 0.0546875, -1.73145, -0.631836, -0.725586, 0.390381, -0.258789, 0.537598, 0.535645, 1.74023, Jaz
-1.01172, 0.034668, -0.0748901, 1.06836, 0.0986328, 0.0486145, 0.0550537, 0.0917969, -1.96875, -0.709961, -0.680664, 0.388916, -0.255859, 0.674805, 0.656738, 1.99219, Jaz
-1.03418, 0.0675659, -0.0349121, 1.10254, 0.0927734, 0.0744629, 0.0789795, 0.103516, -1.85352, -0.746582, -0.531738, 0.341064, -0.274902, 0.649902, 0.986816, 1.91699, Jaz
-0.990234, 0.0592651, 0.0193481, 1.04102, 0.138672, 0.0557861, 0.0577087, 0.152344, -2.31445, -0.622559, -0.490967, 0.385986, -0.277832, 0.781738, 0.784668, 2.39844, Jaz
-0.945313, 0.0429077, -0.0595703, 1.00488, 0.0859375, 0.0401611, 0.0692749, 0.0849609, -2.00586, -0.625977, -0.730957, 0.448486, -0.223999, 0.413818, 0.870605, 2.01367, Jaz
-1.01953, 0.0361328, -0.0259552, 1.0791, 0.0898438, 0.059906, 0.0616455, 0.0878906, -1.93555, -0.690918, -0.57666, 0.541992, -0.375977, 0.568848, 0.669922, 2.01367, Jaz
-1.01953, 0.0292053, -0.0459595, 1.08789, 0.0976563, 0.0593567, 0.081543, 0.0986328, -1.67676, -0.598633, -0.564941, 0.498291, -0.233887, 0.797852, 0.850586, 1.68555, Jaz
-0.986816, 0.0944824, -0.0298462, 1.0293, 0.0478516, 0.0260468, 0.0559387, 0.0576172, -1.57422, -0.371826, -0.646973, 0.605957, -0.533691, 0.554688, 0.527832, 1.6416, Jaz
-1.13379, -0.0282593, 0.0522461, 1.1748, 0.0957031, 0.0401306, 0.0485535, 0.100586, -2.29102, -0.555664, -0.468994, 0.469238, -0.200928, 0.477783, 0.876953, 2.29688, Jaz
-0.885254, 0.194458, 0.262451, 1.02637, 0.246582, 0.0707397, 0.0901489, 0.245117, -1.96387, -0.261963, -0.0929565, 0.373047, -0.0219879, 1.5752, 2.10547, 3.0625, Jaz
-0.894043, 0.153076, 0.208496, 1.02734, 0.20459, 0.078125, 0.0950928, 0.1875, -2.13086, -0.804688, -0.25293, 0.404297, 0.0289917, 0.983887, 1.76855, 2.51563, Jaz
-0.872559, 0.150757, 0.18396, 0.994629, 0.138184, 0.0880737, 0.0750122, 0.129883, -1.68164, -0.95752, -0.445801, 0.359863, -0.134888, 0.875, 1.2666, 2.04297, Jaz
-0.972656, 0.0978394, 0.0168304, 1.07617, 0.22168, 0.055481, 0.146118, 0.225586, -2.48633, -0.775879, -0.931641, 0.356201, 0.105957, 0.47583, 1.22559, 2.53516, Jaz
-0.924316, 0.201904, 0.145752, 1.06934, 0.183594, 0.09375, 0.108398, 0.162109, -1.80566, -0.580566, -0.612793, 0.497559, -0.0479736, 1.16699, 1.81543, 2.51172, Jaz
-0.938477, 0.181396, 0.188232, 1.05566, 0.232422, 0.0587158, 0.0887451, 0.214844, -2.16602, -0.516602, -0.365967, 0.334961, -0.0529785, 1.01367, 1.6416, 2.46289, Jaz
-0.932617, 0.17334, 0.196045, 1.08398, 0.233887, 0.0991211, 0.132202, 0.229492, -1.94043, -0.683594, -0.444824, 0.371094, 0.0679932, 1.17773, 2.07031, 2.53125, Jaz
-0.968262, 0.123169, 0.172363, 1.08008, 0.169922, 0.0682373, 0.115173, 0.169922, -1.82129, -0.391846, -0.833984, 0.413086, -0.211914, 0.939941, 1.35645, 2.07227, Jaz
-0.964355, 0.0307617, -0.00197983, 1.00684, 0.0546875, 0.0482788, 0.0424194, 0.0625, -1.5459, -0.498779, -0.726563, 0.514648, -0.47998, 0.528809, 0.683594, 1.59961, Jaz
-1.02734, 0.0499573, -0.0475464, 1.10059, 0.107422, 0.0628052, 0.0941772, 0.114258, -1.85156, -0.445801, -0.726563, 0.443359, -0.145996, 0.692871, 1.03809, 1.98535, Jaz
-1.02539, 0.0620728, -0.00935364, 1.09277, 0.0927734, 0.0577087, 0.0964966, 0.110352, -1.72754, -0.60498, -0.580566, 0.497803, -0.314941, 0.584961, 1.02148, 2.04102, Jaz
