@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_ACC_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_ACC_V numeric
@attribute class {Jaz, Mami, Mirovanje, Sestra, Vati}

@data
-1.0791, -0.0346375, -0.0731201, 1.10645, 0.0449219, 0.0242615, 0.0267334, 0.0410156, -1.64648, -0.36377, -0.623535, 0.826172, -0.786621, 0.234985, 0.279785, 1.67578, Jaz
-0.946289, 0.135986, 0.0158691, 1.03711, 0.0888672, 0.0323792, 0.161255, 0.12207, -1.67383, -0.174927, -0.647949, 0.620117, -0.583984, 0.599609, 1.00684, 1.8584, Jaz
-0.960938, -0.0394897, -0.111694, 1.01855, 0.0532227, 0.0653076, 0.0190277, 0.0371094, -1.49707, -0.620605, -0.551758, 0.63623, -0.246948, 0.82666, 0.187988, 1.70996, Jaz
-0.969238, 0.0622864, -0.0625, 1.02832, 0.0917969, 0.0325928, 0.0879517, 0.101563, -1.79004, -0.459961, -0.691895, 0.602539, -0.581543, 0.302979, 0.510742, 1.84961, Jaz
-0.987793, 0.0484314, -0.0266571, 1.08594, 0.135742, 0.0977783, 0.0845337, 0.114258, -2.13867, -0.80957, -0.742676, 0.543457, -0.0819702, 0.595703, 0.656738, 2.18945, Jaz
-1.08496, -0.108093, -0.130127, 1.12988, 0.0888672, 0.0301361, 0.0346069, 0.0810547, -2.00391, -0.568848, -0.508789, 0.773438, -0.746582, 0.201904, 0.376953, 2.00781, Jaz
-0.984375, 0.0287323, -0.0845947, 1.0791, 0.0273438, 0.123169, 0.0766602, 0.0410156, -1.40723, -0.713867, -0.680664, 0.738281, -0.666992, 0.820801, 0.445801, 1.56543, Jaz
-1.03613, -0.00827789, -0.103394, 1.06445, 0.0351563, 0.00759125, 0.0320435, 0.0263672, -1.42676, -0.162964, -0.545898, 0.806152, -0.755859, 0.188965, 0.304932, 1.45996, Jaz
-1.00195, 0.105225, -0.00219154, 1.04688, 0.0703125, 0.0246735, 0.0562439, 0.0693359, -2.02344, -0.328857, -0.669922, 0.768555, -0.737793, 0.352783, 0.389893, 2.04688, Jaz
-0.946777, -0.00939941, -0.141235, 1.00879, 0.110352, 0.0378723, 0.0166779, 0.0625, -1.7041, -0.601563, -0.566895, 0.445801, 0.0279999, 0.332764, 0.0209961, 1.75488, Jaz
-0.967773, 0.0664673, -0.054718, 1.01953, 0.0849609, 0.0306854, 0.0774536, 0.0966797, -1.61523, -0.258789, -0.59668, 0.641113, -0.618652, 0.614746, 0.837891, 1.64063, Jaz
-0.991211, 0.0410767, -0.0506592, 1.06934, 0.0693359, 0.0687866, 0.0981445, 0.0800781, -1.53809, -0.543945, -0.4729, 0.514648, -0.230957, 0.538574, 0.967773, 1.86035, Jaz
-1.04492, 0.0129929, -0.137695, 1.08301, 0.0673828, 0.0308533, 0.0348816, 0.0722656, -1.5459, -0.319824, -0.598633, 0.62207, -0.60498, 0.695801, 0.307861, 1.5957, Jaz
-0.95459, 0.0668945, 0.0422974, 1.03711, 0.0683594, 0.0723877, 0.101807, 0.0849609, -1.50684, -0.561523, -0.435791, 0.494873, -0.305908, 0.612793, 0.920898, 1.62891, Jaz
-1.11816, -0.0292358, -0.13916, 1.15625, 0.0478516, 0.02388, 0.0379028, 0.0429688, -1.67188, -0.388916, -0.548828, 0.842285, -0.816895, 0.294922, 0.233887, 1.70605, Jaz
-0.888184, 0.0570679, 0.0540466, 0.995117, 0.11377, 0.13562, 0.0927734, 0.147461, -2.00977, -1.16016, -0.422852, 0.525391, -0.274902, 0.754883, 0.779785, 2.11523, Jaz
-1.08984, 0.0262909, -0.034729, 1.10742, 0.0498047, 0.0185547, 0.0211945, 0.0507813, -1.7002, -0.306885, -0.400879, 0.833984, -0.815918, 0.243896, 0.275879, 1.71777, Jaz
-0.981934, 0.107117, 0.0210266, 1.05566, 0.140137, 0.053894, 0.120422, 0.176758, -2.11914, -0.344971, -0.543945, 0.484131, -0.48291, 0.720703, 1.02051, 2.19922, Jaz
