F1_MEAN_on_ACC_X,F5_VAR_on_ACC_X,F9_MIN_on_ACC_X,F13_MAX_on_ACC_X,F2_MEAN_on_ACC_Y,F6_VAR_on_ACC_Y,F10_MIN_on_ACC_Y,F14_MAX_on_ACC_Y,F3_MEAN_on_ACC_Z,F7_VAR_on_ACC_Z,F11_MIN_on_ACC_Z,F15_MAX_on_ACC_Z,F4_MEAN_on_ACC_V,F8_VAR_on_ACC_V,F12_MIN_on_ACC_V,F16_MAX_on_ACC_V,class
-0.0006153846153846154,8.328402366863901e-07,-0.003,0.002,0.02155769230769231,2.169748520709715e-06,0.018,0.025,0.9912500000000001,1.918269229905789e-06,0.988,0.995,0.9914860865289108,1.936373431377092e-06,0.9882676762901841,0.9952662960233307,Mirovanje
-0.0010961538461538463,1.1446005917159727e-06,-0.004,0.002,0.021913461538461538,2.213664940827972e-06,0.018,0.025,0.9917115384615385,2.089866862675649e-06,0.988,0.995,0.9919559117196474,2.094204442637526e-06,0.988245414864142,0.995245195919076,Mirovanje
-0.0006153846153846154,1.1982248520710053e-06,-0.004,0.002,0.02109615384615384,1.8561390532537787e-06,0.017,0.026,0.9916538461538462,1.6878698213540488e-06,0.989,0.996,0.9918799490453065,1.6859126500401445e-06,0.9892022037985965,0.9962429422585638,Mirovanje
-0.0005192307692307693,1.2303994082840227e-06,-0.004,0.002,0.02172115384615384,1.854937130177359e-06,0.018,0.026,0.9916634615384615,1.4925110933816654e-06,0.989,0.995,0.9919030045192532,1.5065487557475166e-06,0.9891824907467782,0.9952894051480705,Mirovanje
-0.0010096153846153846,1.1056767751479273e-06,-0.004,0.001,0.021355769230769227,2.6715051775146634e-06,0.017,0.025,0.9917788461538461,1.6722448210604313e-06,0.989,0.996,0.9920111520474486,1.691521185565037e-06,0.9891466018745654,0.9962027906003877,Mirovanje
-0.0007403846153846155,2.4037536982248522e-06,-0.005,0.003,0.021615384615384613,2.4097633136095143e-06,0.018,0.026,0.9917115384615385,3.2437130171869555e-06,0.986,0.995,0.9919497674007285,3.2647228720428245e-06,0.9862256334125573,0.995245195919076,Mirovanje
-0.000903846153846154,1.2792159763313592e-06,-0.004,0.002,0.02183653846153846,2.3675110946743674e-06,0.018,0.025,0.9912692307692308,2.927514791695174e-06,0.983,0.994,0.9915119879952421,2.89112326101737e-06,0.9832695459537023,0.9942901990867656,Mirovanje
-0.0005096153846153846,1.7691383136094657e-06,-0.003,0.004,0.021644230769230763,2.4407359467453686e-06,0.018,0.025,0.9916346153846154,1.712647927476496e-06,0.987,0.995,0.9918730533059521,1.7115101436093738e-06,0.9872233789776252,0.9952657936450946,Mirovanje
-0.0006057692307692309,1.2388128698224843e-06,-0.003,0.002,0.02154807692307692,2.3246116863903958e-06,0.018,0.024,0.9916153846153848,1.6982248507435571e-06,0.988,0.995,0.9918514694499779,1.6817806891555875e-06,0.9882681822258572,0.9952055064156348,Mirovanje
-0.0008269230769230769,1.7392751479289944e-06,-0.004,0.003,0.02142307692307692,1.974852071005514e-06,0.018,0.025,0.9917019230769231,4.651534762811771e-06,0.985,0.998,0.9919354998104336,4.666138902265082e-06,0.9852030247619016,0.9982424555186982,Mirovanje
-0.0005673076923076924,1.3416235207100584e-06,-0.004,0.003,0.021759615384615384,2.2595229289937876e-06,0.018,0.025,0.9920384615384615,5.440828401370723e-06,0.986,1.001,0.9922790465078032,5.44770771881975e-06,0.986223605476973,1.0012202554882714,Mirovanje
-0.0008076923076923077,1.5976331360946734e-06,-0.004,0.002,0.021249999999999998,1.8413461538458603e-06,0.018,0.025,0.9915673076923076,3.995469673445662e-06,0.985,0.997,0.9917970576620968,3.971412807168839e-06,0.9852456546465963,0.997221138965676,Mirovanje
-0.0011442307692307693,1.9695821005917173e-06,-0.006,0.003,0.021663461538461534,2.492511094674438e-06,0.018,0.025,0.9918750000000001,1.9939903838084305e-06,0.989,0.996,0.9921144624235307,1.979988530687038e-06,0.9892446613452104,0.9961626373238458,Mirovanje
-0.0008173076923076924,1.4377773668639038e-06,-0.004,0.002,0.021826923076923074,2.5277366863901652e-06,0.019,0.027,0.9915673076923077,1.533931211827877e-06,0.988,0.995,0.991809846813995,1.5354551073931688e-06,0.9882676762901841,0.9952894051480705,Mirovanje
-0.0008365384615384616,1.2328957100591703e-06,-0.005,0.001,0.021846153846153845,2.360946745561855e-06,0.018,0.026,0.9918365384615384,2.002126478162225e-06,0.988,0.995,0.992079253095979,2.024807293277142e-06,0.9882251767689386,0.9952477078597066,Mirovanje
-0.001096153846153846,1.4330621301775133e-06,-0.003,0.002,0.02160576923076923,2.5080436390530073e-06,0.017,0.025,0.9916153846153846,2.1597633134140537e-06,0.988,0.995,0.9918533300649374,2.154331401937881e-06,0.9882236588950905,0.9952431863620067,Mirovanje
-0.0007980769230769233,1.6419193786982233e-06,-0.004,0.002,0.021269230769230766,1.9852071005913713e-06,0.018,0.025,0.9920192307692309,2.961168637849454e-06,0.987,0.996,0.9922493570092754,2.973130064143348e-06,0.9872233789776252,0.996273556810578,Mirovanje
-0.0011442307692307693,1.4503513313609454e-06,-0.004,0.001,0.021259615384615384,2.307599852070688e-06,0.017,0.025,0.9917403846153847,2.4229844662881916e-06,0.988,0.996,0.9919707832875176,2.4170270254142423e-06,0.988245414864142,0.9962429422585638,Mirovanje
-0.0005384615384615384,9.98520710059171e-07,-0.003,0.002,0.021721153846153845,1.9126294378691948e-06,0.018,0.025,0.9918653846153845,6.481878697117693e-06,0.985,1.001,0.992104798177164,6.502126156493482e-06,0.9852461621341135,1.0012647002666175,Mirovanje
