#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
760811559,0.293,-0.231,-1.304,
760850084,-0.241,-0.376,-0.69,
760888609,0.066,-0.562,-0.682,
760927134,0.468,0.202,-0.874,
760965659,0.521,-0.325,-0.09,
761004185,0.467,-0.227,0.038,
761042710,-0.8,-0.277,-0.624,
761081234,-2.775,1.087,-2.594,
761119760,-2.394,1.152,-2.368,
761158285,-1.094,-0.288,-0.939,
761196810,1.27,-1.074,1.734,
761235335,2.81,-0.976,1.947,
761273860,1.413,-0.631,1.037,
761312385,-1.087,-0.812,-0.642,
761350910,-2.651,-0.163,-2.4,
761389435,-2.491,-0.033,-2.463,
761427960,-0.525,-0.027,-0.834,
761466486,0.123,-0.149,-0.389,
761505010,0.477,0.417,-0.32,
761543535,0.253,0.835,-0.576,
761582060,0.405,0.776,0.455,
761620586,0.772,-0.09,0.704,
761659111,0.619,-1.701,1.367,
761697636,0.863,-2.012,1.522,
761736161,0.225,-2.005,1.167,
761774686,0.64,0.286,1.281,
761813211,-0.031,2.009,1.131,
761851736,0.021,1.186,0.13,
761890262,0.622,0.851,0.911,
761928787,-0.165,0.866,0.369,
761967312,0.214,0.717,-0.064,
762005837,-0.384,2.221,-0.461,
762044362,0.108,2.826,0.287,
762082887,0.104,1.076,0.907,
762121412,0.301,-1.566,1.2,
762159937,0.778,-0.792,0.388,
762198462,0.499,-0.684,1.47,
762236987,0.138,-1.091,0.75,
762275513,-0.044,-0.874,0.881,
762314037,0.036,-1.037,0.49,
762352562,0.683,-0.679,0.207,
762391088,-0.278,1.069,0.503,
762429613,-0.421,0.601,0.33,
762468138,-0.559,1.208,0.2,
762506663,-0.575,0.538,-0.634,
762545188,-0.202,0.471,-1.264,
762583713,-0.38,0.696,-0.759,
762622239,-0.232,-0.055,-0.852,
762660764,-0.244,0.328,-1.083,
762699288,-0.086,0.027,-1.15,
762737813,-0.046,-0.791,-0.452,
762776339,-0.071,-1.052,-0.622,
762814863,-0.223,-0.014,-1.489,
762853389,-0.586,0.817,-1.095,
762891914,-0.049,0.803,-0.995,
762930439,-0.251,-0.328,0.181,
762968964,1.013,-0.406,0.736,
763007489,0.217,-0.414,0.389,
763046014,0.322,-0.951,0.354,
763084539,0.556,-0.635,1.116,
763123064,0.195,-0.42,0.398,
763161590,0.245,-0.017,-0.251,
763200115,-0.229,-0.384,-1.416,
763238640,-0.07,-0.04,-1.068,
763277165,-0.18,0.281,-0.937,
763315690,-0.57,0.406,-1.53,
763354215,-0.322,1.27,-0.691,
763392740,-0.24,0.891,0.218,
763431265,-0.338,1.332,0.005,
763469791,-0.009,0.962,0.631,
763508316,0.148,0.276,0.638,
763546841,-0.006,0.015,0.547,
763585366,-0.045,-0.856,0.077,
763623891,0.325,-1.382,0.474,
763662416,-0.003,-0.803,0.269,
763700941,-0.409,-1.248,0.812,
763739466,0.023,-0.456,-0.567,
763777991,0.044,-0.695,-0.371,
763816516,0.09,-0.026,-0.426,
763855041,-0.211,0.092,-1.138,
763893567,-0.098,0.694,-1.527,
763932092,-0.186,0.623,-1.096,
763970617,-0.006,0.778,-0.809,
764009142,0.043,0.84,-0.553,
764047667,-0.805,0.267,-0.749,
764086191,-0.455,-0.062,-0.864,
764124717,-0.775,1.302,-0.219,
764163242,-0.431,0.54,-0.34,
764201767,-0.109,1.04,-1.113,
764240292,0.184,0.911,-1.626,
764278817,0.458,0.682,-0.953,
764317343,0.401,0.419,-1.024,
764355867,0.605,0.265,-0.702,
764394392,-0.217,-0.046,0.026,
764432918,-1.692,0.228,0.976,
764471443,-0.99,-0.53,0.517,
764509968,-0.632,-0.35,0.423,
764548493,-0.913,-0.297,0.782,
764587018,-1.27,-0.21,0.838,
764625543,-1.9,-0.487,0.618,
764664068,-1.194,-0.337,0.351,
764702594,-0.968,-0.263,0.027,
764741119,-1.044,-0.206,-0.288,
764779644,-0.332,0.261,-0.64,
764818169,0.081,0.163,-0.624,
764856694,0.444,0.026,-0.849,
764895219,0.843,0.147,-0.356,
764933744,1.19,0.514,0.406,
764972269,1.492,0.17,0.507,
765010795,0.224,0.136,0.019,
765049320,0.227,0.494,0.536,
765087844,0.491,-0.236,0.752,
765126370,-0.132,-0.344,0.221,
765164895,-0.698,0.359,0.484,
765203420,-0.837,0.281,0.585,
765241945,-0.936,0.373,0.977,
765280470,-1.265,0.678,1.394,
765318996,-1.366,0.312,1.784,
765357521,-1.17,-0.38,1.018,
765396046,-0.93,-0.041,1.757,
765434571,-1.352,-0.773,1.378,
765473096,-0.665,0.235,-0.557,
765511621,1.042,-0.449,0.132,
765550146,0.26,-0.168,-0.571,
765588671,0.268,-0.145,-1.149,
765627196,-0.133,-0.139,-1.15,
765665722,-0.031,-0.116,-0.469,
765704246,0.177,0.199,-0.646,
765742772,-0.298,0.627,-0.304,
765781297,-0.934,0.693,-1.102,
765819822,0.117,1.184,-1.008,
765858347,-0.767,0.016,-0.303,
765896872,-1.335,-0.186,-1.319,
765935397,-1.116,-0.043,-0.138,
765973923,-1.17,0.258,0.529,
766012448,-0.54,-0.393,0.1,
766050972,0.254,-0.092,0.738,
766089498,0.113,-0.274,0.927,
766128023,-0.446,-0.781,1.178,
766166548,-0.117,-0.392,0.629,
766205073,0.933,0.066,0.874,
766243598,0.922,-0.288,1.293,
766282123,0.415,-0.337,1.424,
766320648,0.242,-0.649,1.094,
766359174,0.151,-0.817,1.846,
766397699,1.238,-0.311,1.081,
766436224,-0.188,-0.556,0.159,
766474749,-0.393,0.008,-0.17,
766513274,-0.746,0.222,-0.84,
766551799,-0.525,-0.16,-0.564,
766590325,-0.105,-0.204,-1.224,
766628849,-0.134,-0.643,-1.279,
766667375,0.62,-0.37,-1.163,
766705900,0.537,-0.395,-0.875,
766744425,0.438,-0.712,-0.35,
766782950,0.88,-0.357,-0.02,
766821475,0.637,-0.402,-0.187,
766860004,0.461,-0.137,0.56,
766898526,1.105,-0.211,0.334,
766937050,0.671,-0.059,0.5,
766975576,0.898,0.083,0.457,
767014101,0.528,0.274,1.015,
767052626,0.68,0.289,1.71,
767091151,0.363,0.102,1.197,
767129677,0.627,0.026,0.748,
767168202,0.697,-0.506,0.984,
767206726,0.205,-0.8,0.521,
767245252,-0.157,-0.631,-0.08,
767283777,-0.469,-0.629,0.326,
767322302,0.362,-0.211,0.875,
767360827,-0.292,0.058,0.888,
767399352,-0.651,0.169,0.75,
767437877,-0.21,0.107,0.781,
767476402,0.21,0.487,0.793,
767514927,-0.469,0.702,0.245,
767553453,-0.642,0.706,-0.47,
767591978,-0.037,0.943,-0.318,
767630503,-0.394,0.647,-1.026,
767669028,-0.218,0.913,-0.976,
767707553,-0.636,0.371,-0.856,
767746078,-0.981,0.007,-1.118,
767784604,0.488,-0.469,-0.774,
767823128,0.642,-1.058,-0.981,
767861654,0.319,-0.982,-0.672,
767900179,-0.225,-0.685,-1.3,
767938704,-0.273,-0.302,-0.802,
767977229,-0.21,0.031,-0.622,
768015754,-0.576,0.352,-0.941,
768054279,-0.074,1.224,-0.056,
768092805,-0.293,1.063,0.234,
768131330,-0.24,0.825,0.406,
768169854,-0.115,0.805,0.294,
768208380,-0.647,0.725,0.033,
768246905,-0.025,0.173,0.593,
768285430,0.526,-1.235,1.112,
768323955,0.002,-0.751,0.752,
768362480,-1.079,-1.461,-0.342,
768401006,0.238,-0.401,-0.581,
768439530,0.055,-0.849,-0.27,
768478056,0.286,-0.396,-0.808,
768516581,0.012,-0.605,-1.13,
768555106,0.03,0.004,-1.043,
768593631,-0.736,-0.799,-0.777,
768632156,0.361,-0.511,-1.55,
768670681,-0.338,-0.094,-0.168,
768709206,0.802,-0.45,-1.15,
768747732,0.936,-0.322,-0.689,
768786257,1.577,-0.326,-1.009,
768824783,0.884,0.085,-0.635,
768863307,0.564,0.588,-0.67,
768901832,0.174,0.254,-0.516,
768940357,0.141,0.162,-1.215,
768978883,-0.391,0.39,-1.122,
769017407,-1.438,-0.205,-0.577,
769055933,-2.192,-0.709,-0.501,
769094458,-2.486,-0.964,0.309,
769132983,-1.472,-1.009,0.07,
769171508,-0.565,-1.054,-0.384,
769210033,1.283,0.619,-1.007,
769248559,2.312,1.909,-1.672,
769287083,2.036,1.782,-1.248,
769325608,1.41,0.889,-0.896,
769364134,0.805,0.324,-0.466,
769402659,0.303,0.253,-0.539,
769441184,-0.264,0.146,-0.856,
769479709,-1.087,-0.39,-0.504,
769518234,-1.738,-0.654,-0.603,
769556760,-2.447,-1.107,0.008,
769595285,-1.867,-0.853,0.243,
769633810,-0.99,-0.765,-0.192,
769672335,0.389,-0.068,-1.069,
769710860,1.545,1.164,-2.463,
769749385,1.762,1.363,-2.486,
769787910,1.494,0.852,-1.79,
769826435,0.992,0.374,-0.894,
769864960,0.491,0.352,-0.75,
769903485,-0.081,0.255,-0.624,
769942011,-0.87,-0.004,-0.807,
769980536,-1.753,0.074,-0.845,
770019061,-2.166,0.085,-0.382,
770057586,-1.92,-0.427,0.146,
770096111,-0.965,-0.687,0.138,
770134637,0.11,-0.683,0.483,
770173162,1.137,-0.322,-0.114,
770211687,1.361,0.495,-1.407,
770250212,1.646,1.613,-3.155,
770288737,1.202,0.751,-3.989,
770327262,0.188,-0.658,-3.02,
770365787,-0.071,-0.662,-1.725,
770404312,-0.156,-0.115,-0.234,
770442838,-0.062,0.152,0.961,
770481363,0,0.403,1.759,
770519888,-0.194,0.216,1.666,
770558413,-0.148,-0.054,0.912,
770596938,0.12,-0.402,-1.365,
770635464,0.468,0.32,-3.614,
770673989,0.202,0.324,-3.79,
770712513,0.058,0.217,-2.769,
770751039,-0.034,0.006,-1.709,
770789564,0.068,0.01,-0.844,
770828089,0.351,0.144,-0.426,
770866614,0.436,0.182,0.17,
770905139,0.276,0.154,0.843,
770943664,-0.539,-0.272,1.546,
770982190,-0.726,-0.238,0.555,
771020715,0.111,0.15,-1.669,
771059240,0.637,0.659,-3.858,
771097765,0.551,0.363,-3.856,
771136291,0.203,-0.034,-2.306,
771174816,-0.142,-0.388,-0.812,
771213341,-0.167,-0.526,0.258,
771251866,-0.289,0.243,0.776,
771290391,0.383,0.264,0.488,
771328916,0.423,0.634,0.11,
771367441,-0.478,0.26,-0.505,
771405967,-0.976,-0.204,-0.816,
771444491,-0.849,-0.03,-2.498,
771483017,-0.919,-0.143,-2.807,
771521542,-0.537,0.035,-2.249,
771560067,-0.054,0.034,-1.711,
771598592,0.128,0.213,-0.914,
771637117,0.066,0.542,0.658,
771675643,0.142,-0.216,-0.117,
771714168,0,0.046,0.349,
771752693,0.066,0.081,0.124,
771791218,-0.039,0.32,-0.648,
771829743,-0.925,0.922,-1.153,
771868268,-0.942,0.798,-2.06,
771906793,-0.072,0.143,-2.552,
771945319,1.321,-1.12,-1.79,
771983844,1.896,-1.655,-1.639,
772022369,1.139,-0.768,-0.074,
772060894,-0.01,-0.064,-0.467,
772099419,-1.195,0.447,-0.909,
772137944,-1.57,0.503,-1.396,
772176470,-1.635,0.201,-1.34,
772214995,-1.391,-0.055,-1.016,
772253520,-1.086,-0.06,-0.704,
772292045,-0.412,-0.117,-0.301,
772330570,0.719,-0.576,0.219,
772369096,1.624,-1.31,-0.03,
772407621,1.672,-1.41,-1.481,
772446146,0.358,-0.668,-2.578,
772484671,-0.622,0.313,-2.625,
772523196,-0.642,0.542,-2.155,
772561721,-0.473,0.165,-1.38,
772600247,-0.692,-0.214,-0.457,
772638772,-0.987,-0.846,0.013,
772677297,-1.056,-1.078,-0.201,
772715822,-0.976,-0.999,-0.426,
772754348,-0.955,-1.064,-0.402,
772792873,-0.715,-0.703,-0.683,
772831398,-0.23,-0.05,-0.951,
772869923,0.193,0.568,-1.399,
772908448,0.47,0.916,-1.616,
772946973,0.951,1.409,-1.848,
772985499,0.976,0.95,-1.535,
773024024,0.766,0.655,-1.037,
773062549,0.336,0.482,-0.815,
773101074,-0.073,-0.343,-0.731,
773139599,-0.656,-0.995,-0.666,
773178124,-1.013,-1.562,-0.454,
773216649,-1.297,-1.624,-0.346,
773255175,-1.296,-1.378,-0.513,
773293700,-0.828,-0.958,-0.526,
773332225,-0.412,-0.189,-0.487,
773370750,0.128,0.38,-0.797,
773409275,0.253,0.477,-1.221,
773447801,-0.204,0.473,-2.228,
773486326,-1.053,0.85,-3.003,
773524851,-1.378,0.412,-2.652,
773563376,-0.939,-0.621,-1.685,
773601901,-0.577,-1.088,-0.609,
773640427,0.034,-1.389,0.162,
773678952,0.536,-1.344,0.521,
773717477,0.502,-0.751,1.282,
773756002,0.102,-0.332,1.78,
773794527,-0.526,0.197,1.064,
773833053,-1.509,0.267,-0.798,
773871578,-2.11,-0.968,-3.532,
773910103,-1.959,-1.987,-3.994,
773948628,-1.243,-2.031,-3.402,
773987153,-0.648,-1.522,-1.765,
774025679,-0.313,-0.915,-0.539,
774064204,-0.091,-0.453,0.193,
774102729,-0.107,-0.277,0.995,
774141254,0.032,0.018,2.598,
774179782,-0.048,0.3,2.821,
774218304,-0.711,-0.267,0.825,
774256830,-1.473,-1.279,-2.879,
774295355,-1.659,-1.608,-3.991,
774333880,-1.345,-1.101,-3.607,
774372405,-0.893,-0.73,-2.237,
774410930,-0.625,-0.441,-0.907,
774449455,-0.531,-0.497,-0.086,
774487981,-0.55,-0.54,0.682,
774526506,-1.462,-0.258,0.342,
774565031,-2.694,0.173,-1.203,
774603556,-1.713,0.146,-1.366,
774642082,1.178,-1.594,-0.548,
774680607,3.519,-1.751,0.808,
774719132,2.668,-0.806,0.566,
774757657,1.123,-0.575,-0.358,
774796182,-0.04,-0.995,-0.95,
774834707,-1.587,-0.998,-1.248,
774873232,-3.087,-0.387,-1.842,
774911758,-3.712,-0.007,-1.689,
774950283,-2.797,-0.321,-1.197,
774988808,-1.352,-0.423,-0.753,
775027333,0.411,-0.501,-0.354,
775065859,2.685,-1.571,0.009,
775104384,3.565,-1.37,0.351,
775142909,1.873,-0.575,0.166,
775181435,0.229,-1.082,-0.514,
775219960,-1.126,-1.105,-0.633,
775258485,-2.574,-0.872,-1.259,
775297010,-3.341,-0.323,-1.926,
775335535,-2.894,-0.264,-1.494,
775374061,-1.686,-0.288,-0.836,
775412585,-0.259,-0.144,-0.29,
775451111,1.336,-0.703,0.07,
775489636,1.623,-1.812,-0.936,
775528161,0.405,-1.771,-2.615,
775566686,-0.897,-1.272,-2.486,
775605211,-0.761,-1.039,-1.029,
775643737,-0.302,-0.972,0.65,
775682262,-0.178,-0.17,1.78,
775720787,-0.367,0.228,2.48,
775759312,-0.679,0.089,2.076,
775797838,-0.854,-0.757,0.18,
775836363,-1.229,-1.907,-3.389,
775874888,-1.76,-2.399,-3.994,
775913413,-1.472,-2.078,-3.563,
775951939,-0.848,-1.39,-1.724,
775990464,-0.488,-0.749,-0.38,
