F1_MEAN_on_ACC_X,F5_VAR_on_ACC_X,F9_MIN_on_ACC_X,F13_MAX_on_ACC_X,F2_MEAN_on_ACC_Y,F6_VAR_on_ACC_Y,F10_MIN_on_ACC_Y,F14_MAX_on_ACC_Y,F3_MEAN_on_ACC_Z,F7_VAR_on_ACC_Z,F11_MIN_on_ACC_Z,F15_MAX_on_ACC_Z,F4_MEAN_on_ACC_V,F8_VAR_on_ACC_V,F12_MIN_on_ACC_V,F16_MAX_on_ACC_V,class
0.007500000000000002,2.0961538461537746e-06,0.005,0.012,0.9990192307692307,1.4996301775926923e-06,0.996,1.001,-0.01584615384615385,1.6301775147927106e-06,-0.019,-0.013,0.9991749088248132,1.501574926177085e-06,0.9961305135372573,1.00118829397871,Mirovanje
0.006990384615384616,1.990292159763287e-06,0.004,0.011,0.9993076923076922,2.2130177511625604e-06,0.996,1.003,-0.015692307692307696,1.5014792899406874e-06,-0.019,-0.013,0.9994570858312938,2.2162739253817065e-06,0.9961310154793896,1.0031595087522223,Mirovanje
0.006884615384615387,1.7943786982248141e-06,0.003,0.01,0.9993076923076922,2.366863905201022e-06,0.996,1.003,-0.01592307692307693,1.590236686390366e-06,-0.018,-0.012,0.9994599483879567,2.369260651002847e-06,0.9961450697564085,1.003144057451371,Mirovanje
0.006855769230769231,2.0657359467455695e-06,0.004,0.011,0.9994711538461538,2.1914755913288175e-06,0.996,1.003,-0.01582692307692308,1.489275147928881e-06,-0.019,-0.013,0.9996217480701634,2.187708227574525e-06,0.9961164590548638,1.0031684803660847,Mirovanje
0.007153846153846154,2.072485207100582e-06,0.003,0.011,0.99925,2.2644230768253948e-06,0.996,1.003,-0.01615384615384616,1.5724852071003327e-06,-0.019,-0.013,0.9994079877958572,2.2700836822542314e-06,0.996175185396625,1.0031978867601345,Mirovanje
0.007490384615384617,1.6537536982248293e-06,0.004,0.011,0.9992692307692308,2.273668639696247e-06,0.995,1.003,-0.01567307692307693,1.0661982248517683e-06,-0.018,-0.013,0.9994215666407755,2.2725179131821704e-06,0.9951532545291705,1.0031520323460446,Mirovanje
0.0070192307692307715,1.8073224852070544e-06,0.003,0.01,0.9991634615384615,2.2713572487287337e-06,0.994,1.003,-0.01595192307692308,1.353457840236479e-06,-0.019,-0.013,0.9993170217404916,2.2785212523412923e-06,0.9941378174076269,1.0031455527489517,Mirovanje
0.007076923076923078,1.782544378698211e-06,0.004,0.01,0.9994230769230769,2.397928993813636e-06,0.996,1.003,-0.01600961538461539,1.6825998520707134e-06,-0.021,-0.013,0.9995780786155654,2.40513582960844e-06,0.9961375407040938,1.0031520323460446,Mirovanje
0.007125000000000001,1.6286057692307487e-06,0.005,0.011,0.9991057692307692,2.2676590235581884e-06,0.995,1.002,-0.015692307692307696,1.6745562130176042e-06,-0.02,-0.013,0.999256048452958,2.2727071025130385e-06,0.9951376789168421,1.0021596679172435,Mirovanje
0.007105769230769233,1.9407359467455123e-06,0.004,0.011,0.9994134615384614,2.5694341713178304e-06,0.996,1.003,-0.015875000000000004,1.301682692307518e-06,-0.018,-0.013,0.9995664146171443,2.5693078887778498e-06,0.9961375407040938,1.0031859249411346,Mirovanje
0.007067307692307693,2.697392751479266e-06,0.003,0.011,0.9994519230769231,1.4399963014222195e-06,0.997,1.002,-0.01584615384615385,1.2647928994080843e-06,-0.018,-0.013,0.9996045022437876,1.435247795833483e-06,0.9971308840869387,1.002168648481881,Mirovanje
0.007105769230769233,2.0945821005917043e-06,0.003,0.01,0.9987692307692307,2.6775147928814746e-06,0.994,1.003,-0.01613461538461539,1.1549556213015012e-06,-0.019,-0.014,0.9989264342547866,2.7001008641169832e-06,0.9941453616046297,1.0031759566496796,Mirovanje
0.007067307692307694,1.6397004437869315e-06,0.004,0.01,0.9992403846153846,2.1633690829858665e-06,0.996,1.003,-0.015798076923076925,1.5073039940826575e-06,-0.019,-0.013,0.9993918255977616,2.16162068078507e-06,0.9961254941020233,1.0031620008752322,Mirovanje
0.007076923076923077,1.7825443786981908e-06,0.005,0.01,0.9994134615384614,1.9925110945617774e-06,0.996,1.003,-0.01601923076923077,1.3265532544376587e-06,-0.019,-0.013,0.9995684509674617,1.9791382009914926e-06,0.9961375407040938,1.0031455527489517,Mirovanje
0.0071634615384615396,1.5790495562130214e-06,0.004,0.01,0.9992980769230768,2.2861501475235357e-06,0.995,1.003,-0.015865384615384618,1.0203402366861154e-06,-0.018,-0.013,0.9994509861956872,2.2838847761885717e-06,0.9951532545291705,1.0031525307748566,Mirovanje
0.007134615384615386,2.5203402366863755e-06,0.004,0.012,0.9992115384615385,2.051405325054212e-06,0.996,1.002,-0.01591346153846154,1.7328957100590779e-06,-0.02,-0.013,0.9993658489992452,2.0440847871006085e-06,0.9961375407040938,1.0021442012006057,Mirovanje
0.007086538461538463,2.1559726331360415e-06,0.003,0.012,0.9986826923076924,2.1781619825578247e-06,0.996,1.003,-0.015778846153846157,1.97993713017743e-06,-0.019,-0.012,0.9988345395719515,2.1875580874519684e-06,0.9961375407040938,1.003179445562956,Mirovanje
0.006903846153846154,2.183062130177504e-06,0.003,0.01,0.9990865384615385,3.040588017699797e-06,0.995,1.003,-0.016105769230769233,1.4022744082838674e-06,-0.019,-0.012,0.9992419931808634,3.035217781666155e-06,0.9951532545291705,1.0031684803660847,Mirovanje
0.007086538461538463,2.1752034023668205e-06,0.004,0.01,0.9990865384615385,1.9828957100731515e-06,0.996,1.002,-0.01590384615384616,1.3176775147925065e-06,-0.019,-0.014,0.9992399867814709,1.9872785046448627e-06,0.9961209765886873,1.0021925962608185,Mirovanje
0.006865384615384616,1.6357248520709375e-06,0.004,0.01,0.9992403846153846,2.932599852401019e-06,0.995,1.003,-0.015980769230769236,1.615014792899223e-06,-0.019,-0.011,0.9993933733384173,2.9334041821149626e-06,0.9951170785390029,1.003144057451371,Mirovanje
0.007403846153846154,2.5676775147928757e-06,0.003,0.01,0.9987980769230769,2.6996116866406794e-06,0.994,1.003,-0.015817307692307696,1.4570081360945099e-06,-0.018,-0.013,0.9989527693743542,2.691482385075439e-06,0.994179058318973,1.0031520323460446,Mirovanje
